Crop Type,Variety,Soil Type,Soil pH,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Organic Matter (%),Temperature (°C),Precipitation (mm),Fertilizer Type,Fertilizer Amount (kg/ha),Irrigation Type,Irrigation Frequency,Yield (kg/ha),Quality (Grade)
Cotton,E,Sandy,7.8,55.43,22.84,11.62,4.23,20.2,139.5,DAP,92.42,Flood,Monthly,1297.74,B
Cotton,C,Sandy,7,62.5,41.87,58.4,3.44,15,174.3,Urea,89.95,Manual,Biweekly,1320.83,C
Cotton,C,Peaty,6,80.38,36.02,66.24,3.82,23.3,100.2,DAP,38.76,Flood,Biweekly,6249.94,E
Wheat,E,Loamy,7.2,68.6,6.13,23.46,2.44,30.5,41.5,Urea,64.94,Manual,Weekly,1816.54,A
Rice,A,Loamy,7.3,87.64,31.57,24.98,4.1,29.5,192.7,Compost,40.36,Drip,Weekly,1017.09,B
Wheat,B,Loamy,7.4,80.7,41.44,69.12,2.53,18.5,8.5,DAP,28.27,Manual,Daily,6557.08,B
Soybean,D,Peaty,7.4,41.13,47.43,18.59,4.67,32.3,157,Compost,80.13,Flood,Daily,6528.54,B
Maize,E,Loamy,5.7,78.31,25.01,51.43,4.65,29.6,138,DAP,26.44,Manual,Weekly,7267.42,A
Maize,C,Clay,7.9,66.85,10.9,10.82,2.74,24.7,118.2,MOP,32.06,Manual,Daily,5018.91,B
Maize,B,Peaty,7.9,91.07,25.7,88.05,3.21,21.3,156.1,Compost,62.75,Sprinkler,Biweekly,1464.64,E
Wheat,A,Loamy,7,84.79,21.46,22.62,3.32,29.8,109.4,Organic,62.19,Sprinkler,Biweekly,1956.46,B
Soybean,E,Peaty,8,62.78,41.8,97.67,2.97,19.1,177.8,Compost,44.02,Flood,Biweekly,6675.86,D
Soybean,A,Clay,7.8,96.85,35.28,84.68,1.14,32.1,152.6,MOP,43.51,Flood,Biweekly,1662.77,E
Wheat,A,Peaty,5.8,12.6,30.02,92.07,3.51,22.9,148.8,Urea,72.57,Flood,Daily,5317.93,E
Wheat,E,Loamy,7.5,31.69,23.53,75.5,1.9,26.3,101.8,Compost,36.61,Manual,Weekly,2165.1,C
Wheat,E,Clay,6.9,58.89,46.91,88.01,3.54,34.2,76.9,MOP,25.97,Drip,Monthly,7350.67,C
Maize,D,Silty,6.2,88.7,33.41,15.92,3.96,17,22.8,Urea,48.84,Drip,Weekly,1142.19,A
Maize,A,Loamy,7.2,20.5,22.27,57,2.99,30.7,104.8,Compost,93.69,Manual,Monthly,4993.12,D
Maize,E,Silty,6.4,26.25,21.33,56.82,4.26,34.8,80.3,DAP,77.18,Manual,Monthly,3089.07,A
Maize,B,Loamy,6.9,19.63,8.25,88.23,4.37,21.8,145.3,DAP,22.43,Flood,Weekly,1599.29,A
Rice,D,Peaty,5.7,24.49,20.61,63.52,2.83,30.5,92.7,Urea,82.6,Drip,Weekly,3335.91,A
Maize,D,Clay,8,12.12,11.51,36.17,1.38,15.8,95.8,MOP,50.17,Manual,Biweekly,2879.29,E
Maize,B,Silty,7.3,13.31,23.7,39.41,4.29,25.8,186.7,Urea,49.88,Manual,Daily,3915.85,E
Cotton,B,Sandy,6.9,45.72,46.14,41.71,4.35,24.7,172.8,Organic,44.95,Sprinkler,Weekly,6824.95,A
Rice,A,Silty,7.8,29.25,11.66,59.96,2.66,33.2,21.3,DAP,43.25,Drip,Biweekly,4535.08,C
Wheat,E,Peaty,6.9,69.29,27.8,19.11,3.26,23.6,135.8,DAP,25.96,Sprinkler,Monthly,2313.36,A
Wheat,C,Silty,7.5,21.75,19.91,49.06,1.44,23.4,40.4,MOP,80.84,Drip,Weekly,6559.17,A
Soybean,E,Sandy,7,33.84,30.77,25.62,2.1,19.3,165.8,Compost,57.53,Drip,Daily,6655.3,B
Wheat,D,Loamy,6.1,14.59,32.79,26.23,3.81,27.5,158.6,Urea,81.04,Drip,Daily,1981.11,B
Wheat,C,Loamy,6.8,94.67,47.19,14.78,1.7,29.3,68.1,Organic,54.64,Sprinkler,Daily,1761.84,D
Soybean,E,Silty,6.8,83.96,25.98,83.73,3.4,20.6,164.5,MOP,67.57,Drip,Biweekly,5256.45,A
Rice,A,Sandy,7.6,50.43,47.72,17.35,2.17,23.8,131.9,MOP,25.36,Flood,Monthly,2801.3,D
Wheat,D,Loamy,7.8,21.33,19.96,31.82,4.01,15.8,181.2,MOP,32.15,Drip,Monthly,3351.91,E
Wheat,E,Loamy,7.5,38.43,43.97,53.21,1.7,32.7,29.5,Organic,71.71,Drip,Biweekly,1339.53,A
Soybean,E,Peaty,5.5,49.78,43.82,27.86,3.69,23.1,120.8,Urea,65.59,Drip,Daily,6718.66,A
Wheat,B,Silty,7.4,16.09,17.17,92.85,1.44,15.7,33.9,MOP,24.04,Drip,Biweekly,6099.83,B
Cotton,A,Sandy,6.8,69.67,38.08,79.79,4.04,19.7,177.7,Urea,52.5,Drip,Monthly,7098.5,A
